Follicle No. (R),Follicle No. (L),Skin darkening (Y/N),hair growth(Y/N),Weight gain(Y/N),Cycle(R/I),Fast food (Y/N),Pimples(Y/N),
0.650608,0.601035,0.479679,0.464623,0.441753,0.399746,0.380246,0.28672,
0.650608,0.601035,0.479679,0.464623,0.441753,0.399746,0.380246,0.28672
